Layers,Mixes_per_Layer,Run,Target_Index,Entropy
3,4,7,7,9.913226575257674
3,4,8,7,10.036823250272578
3,4,9,7,9.940985720269566
3,4,10,7,10.012094231642843
3,4,11,7,9.952760964063271
3,4,12,7,9.984277913571079
3,4,13,7,9.928132975408435
3,4,14,7,9.99870524393886
3,4,0,8,10.06673296047738
3,4,1,8,9.87468583878633
3,4,2,8,10.016544693553437
3,4,3,8,10.016701291807594
3,4,4,8,10.032970333010656
3,4,5,8,10.116170091235022
3,4,6,8,9.911879841795768
3,4,7,8,9.978657784895761
3,4,8,8,10.000262996781089
3,4,9,8,10.010519710855071
3,4,10,8,9.976448076683205
3,4,11,8,9.990180653498307
3,4,12,8,9.973638866030264
3,4,13,8,9.908858496454172
3,4,14,8,9.89300876425169
3,4,0,9,9.990366969960542
3,4,1,9,9.929438999071898
3,4,2,9,10.012227485601569
3,4,3,9,9.964778002421182
3,4,4,9,10.104778391328864
3,4,5,9,10.035091209757557
3,4,6,9,9.974215286958007
3,4,7,9,9.99548056041424
3,4,8,9,10.020195741450841
3,4,9,9,10.055926615269748
3,4,10,9,9.991258777130875
3,4,11,9,9.98108110665349
3,4,12,9,9.980693422641986
3,4,13,9,9.979089648005047
3,4,14,9,9.95816485862072
3,4,0,10,10.05038510213179
3,4,1,10,9.960586514041536
3,4,2,10,10.09329921223575
3,4,3,10,9.96193551587036
3,4,4,10,10.06319119045399
3,4,5,10,10.01866264252959
3,4,6,10,9.923652353540929
3,4,7,10,9.955484167031901
3,4,8,10,9.972825570555159
3,4,9,10,9.919589107484848
3,4,10,10,9.971512509126848
3,4,11,10,10.019206955068963
3,4,12,10,10.055386205107272
3,4,13,10,10.050499335453301
3,4,14,10,10.056978663821017
3,4,0,11,10.1658777470524
3,4,1,11,9.957791592665979
3,4,2,11,10.031569257992977
3,4,3,11,10.115202960622037
3,4,4,11,10.071163920503839
3,4,5,11,10.05795201358665
3,4,6,11,9.909292373756383
3,4,7,11,9.963101492826478
3,4,8,11,9.893930832313568
3,4,9,11,9.92252628823158
3,4,10,11,10.007419116911983
3,4,11,11,10.05082886037805
3,4,12,11,10.021293761871894
3,4,13,11,9.94370714680969
3,4,14,11,9.949165058597277
3,4,0,12,9.916627855137703
3,4,1,12,10.004382613617478
3,4,2,12,9.96549096232164
3,4,3,12,9.974062602878162
3,4,4,12,10.039379930913725
3,4,5,12,10.038260070568215
3,4,6,12,9.903861042932924
3,4,7,12,9.957614553538978
3,4,8,12,9.925019193277071
3,4,9,12,9.930833408004492
3,4,10,12,10.014079856958036
3,4,11,12,9.997645102868606
3,4,12,12,9.963189122916724
3,4,13,12,9.907342331103198
3,4,14,12,9.981793861927013
3,4,0,13,10.029205872170396
3,4,1,13,9.953040451495017
3,4,2,13,10.026178197191385
3,4,3,13,9.983503240511562
3,4,4,13,10.031612707911927
3,4,5,13,9.945489227693658
3,4,6,13,9.96557063826158
3,4,7,13,9.91108392706625
3,4,8,13,10.027705697249283
3,4,9,13,9.95707833956239
3,4,10,13,10.041129300895118
3,4,11,13,10.036025348691815
3,4,12,13,10.021870137858391
3,4,13,13,9.908160780391157
3,4,14,13,9.91006154932397
3,4,0,14,10.029607992952473
3,4,1,14,9.949636800105997
3,4,2,14,10.024497192590603
3,4,3,14,9.98563496650862
3,4,4,14,10.034475926505358
3,4,5,14,10.01052863119769
3,4,6,14,9.997287329964038
3,4,7,14,9.96418165149353
3,4,8,14,9.923709040497581
3,4,9,14,9.980963966923115
3,4,10,14,10.02766648821734
3,4,11,14,9.956848666022879
3,4,12,14,9.92122001739162
3,4,13,14,9.887818304963904
3,4,14,14,9.90728146346873
3,4,0,15,9.9363364467846
3,4,1,15,9.955408229016667
3,4,2,15,9.950857327377753
3,4,3,15,9.983115679351462
3,4,4,15,9.95138682111628
3,4,5,15,10.030929331833137
3,4,6,15,9.97029094212128
3,4,7,15,9.956881625961456
3,4,8,15,9.925701477522061
3,4,9,15,9.979821795853091
3,4,10,15,9.934553859769991
3,4,11,15,9.911184710826502
3,4,12,15,9.96003200077378
3,4,13,15,9.97122419980291
3,4,14,15,9.847372997589142
3,4,0,16,9.98725873119601
3,4,1,16,9.938752252154583
3,4,2,16,9.937882706397858
3,4,3,16,9.865436248933513
3,4,4,16,9.945144098831616
3,4,5,16,9.928347481962728
3,4,6,16,9.910976045912388
3,4,7,16,9.753216488297147
3,4,8,16,9.843433823354163
3,4,9,16,10.043828215540634
3,4,10,16,9.925940807462219
3,4,11,16,9.843588141816266
3,4,12,16,9.925852193192515
3,4,13,16,9.828365993077004
3,4,14,16,9.978097790272113
3,4,0,17,9.899857592126743
3,4,1,17,9.887879876366524
3,4,2,17,9.834010318774538
3,4,3,17,9.917702746602258
3,4,4,17,9.866240860701437
3,4,5,17,9.91109702997757
3,4,6,17,9.94830176357267
3,4,7,17,9.36832209785111
3,4,8,17,9.934586019010892
3,4,9,17,9.995870466286428
3,4,10,17,9.91469274188171
3,4,11,17,9.558830016878279
3,4,12,17,9.950720968368383
3,4,13,17,9.78536494681833
3,4,14,17,9.846077939634238
3,4,0,18,9.67516163951188
3,4,1,18,9.828892730891651
3,4,2,18,9.847862036890675
3,4,3,18,9.830553690092549
3,4,4,18,9.812546595545443
3,4,5,18,9.778917140994682
3,4,6,18,9.813489469047603
3,4,7,18,8.508327428290242
3,4,8,18,9.862756553857777
